pollutant,horizon_h,model,R2,RMSE,MAE,MAPE(%),fit_time_s,best_params,n_train,n_test
CO(GT),1,RandomForest_TUNED,0.7780050686315859,0.6225868528481564,0.44935613727502277,42.220896962606425,170.66773128509521,"{'max_depth': 20, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2246
CO(GT),1,GBDT_TUNED,0.7677096115750216,0.6368600934263592,0.4658145528878177,42.837358667458794,402.7531008720398,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2246
CO(GT),24,RandomForest_TUNED,0.14741328961140898,1.2239231460456483,0.9599255155662259,97.0344049805589,169.65157747268677,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2223
CO(GT),24,GBDT_TUNED,0.16674943911364348,1.2099646321751942,0.9439144952856539,97.79519894132623,398.4867014884949,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2223
C6H6(GT),1,RandomForest_TUNED,0.8171814228109805,2.7257962978262946,1.7868113376499972,33.09502084786289,165.50048065185547,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2246
C6H6(GT),1,GBDT_TUNED,0.8104345108935948,2.77563830867275,1.8778128428467593,38.28247084132046,418.58041739463806,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2246
C6H6(GT),24,RandomForest_TUNED,0.2840421083431286,5.415205438217248,4.286485216286658,115.28936291516622,165.5218267440796,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2223
C6H6(GT),24,GBDT_TUNED,0.1489517231172124,5.904026462343201,4.660179367024633,140.45978289696112,406.2324447631836,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2223
NOx(GT),1,RandomForest_TUNED,0.810661330824637,84.93045935502762,60.748397422566576,25.088305621071505,175.4138538837433,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 2, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2246
NOx(GT),1,GBDT_TUNED,0.7945428870017399,88.47170634574141,63.881089348497284,27.446041207296357,340.1625211238861,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 600, 'random_state': 42, 'subsample': 0.8}",7086,2246
NOx(GT),24,RandomForest_TUNED,0.2477684499976054,169.6027244232168,123.54302669065827,54.09425229870005,120.79864597320557,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2223
NOx(GT),24,GBDT_TUNED,0.2828759495274823,165.59766010853383,125.22288480790384,56.78053352066835,359.063152551651,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 5, 'n_estimators': 600, 'random_state': 42, 'subsample': 0.8}",7086,2223
NO2(GT),1,RandomForest_TUNED,0.7681841798282907,24.0337199744056,17.430637910417005,13.80216683422818,104.56634068489075,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2246
NO2(GT),1,GBDT_TUNED,0.7910758154507798,22.816226483207686,16.786235735854277,14.078327589200354,313.7783567905426,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2246
NO2(GT),24,RandomForest_TUNED,0.37233366341437735,39.67692782342652,29.881766735583685,24.961424538697674,114.2751030921936,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2223
NO2(GT),24,GBDT_TUNED,0.4425278060727641,37.39256214171332,28.744612481994483,23.822189006466676,292.8159146308899,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2223
